Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1329042515983441923,"Congratulations to all our corporate sustainability award winners &amp; thank you for making sustainable development part of your business DNA. Your passion &amp; commitment let us show the world how #TaiwanCanHelp, as we strive to accomplish #SDGs. https://t.co/9ikr5iQPs9",蔡英文 Tsai Ing-wen,iingwen,2020-11-18T12:43:22.000Z,Wed Nov 18 12:43:22 +0000 2020,1973,171,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/EnG1HQEVoAAm6sW.jpg,https://pbs.twimg.com/media/EnG1HQEUwAwUhUk.jpg,https://pbs.twimg.com/media/EnG1HQHUwAEvt8F.jpg,https://pbs.twimg.com/media/EnG1HQGUcAEOcjR.jpg
1328976434057027585,"#Taiwan’s investment partnership with the #US continues to grow. We are proud to provide a platform for innovative, leading companies to collaborate with partners around the world. @Google @Microsoft @TWSemicon  @generalelectric https://t.co/MxRzSGnLsF",蔡英文 Tsai Ing-wen,iingwen,2020-11-18T08:20:47.000Z,Wed Nov 18 08:20:47 +0000 2020,2423,256,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,2,4,photo,https://pbs.twimg.com/media/EnF22bWVgAk-5D5.jpg,https://pbs.twimg.com/media/EnF22bVVEAEUzHR.jpg,https://pbs.twimg.com/media/EnF22bXVoAEAxJU.jpg,https://pbs.twimg.com/media/EnF22bYVEAAE_4P.jpg
1328624018224599043,"It’s always a pleasure to see my friends at @AmChamTaipei, a key force driving the #Taiwan-#US economic partnership forward. I was pleased to see that their name will be changed to AmCham Taiwan &amp; am sure there’ll be even more good news for Taiwan-US investment in the future. https://t.co/xPLJFyftNO",蔡英文 Tsai Ing-wen,iingwen,2020-11-17T09:00:25.000Z,Tue Nov 17 09:00:25 +0000 2020,3189,299,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,2,1,photo,https://pbs.twimg.com/media/EnA4fpGUcAEXJ--.jpg,https://pbs.twimg.com/media/EnA4fpGVoAEQhAP.jpg,https://pbs.twimg.com/media/EnA4fqRUwAA2PEp.jpg,https://pbs.twimg.com/media/EnA4fqQUUAAdHG9.jpg
1328285903270211585,"In the face of global challenges, #Taiwan has shown true team spirit. Thank you to everyone for keeping their heads &amp; taking it one play at a time, giving their best for #TeamTaiwan through the #COVID19 pandemic &amp; global economic uncertainty. https://t.co/ayW51aaLlY",蔡英文 Tsai Ing-wen,iingwen,2020-11-16T10:36:52.000Z,Mon Nov 16 10:36:52 +0000 2020,3591,316,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,3,0,photo,https://pbs.twimg.com/media/Em8E--DUcAIn4xl.jpg,,,
1328246670639865857,"I was glad to get on the phone with one of our most valued partners in the #US, @RepEliotEngel. We’re fortunate to have a friend like you, whose support has allowed us to contribute more to the int'l community. I look forward to seeing you again, whether it be in #Taiwan or #NY. https://t.co/3h02Ieaa36",蔡英文 Tsai Ing-wen,iingwen,2020-11-16T08:00:58.000Z,Mon Nov 16 08:00:58 +0000 2020,3984,397,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,3,1,photo,https://pbs.twimg.com/media/Em7hTJ6UwAEw2ea.jpg,https://pbs.twimg.com/media/Em7hTJ7VoAA7Nmk.jpg,https://pbs.twimg.com/media/Em7hTJ7VEAAgjJl.jpg,https://pbs.twimg.com/media/Em7hTJ-VgAEreJj.jpg
1328167443554992129,"On behalf of the government &amp; the people of Taiwan, I wish Eswatini Prime Minister @AmbroseDumile a swift recovery. We must all continue to do our utmost to defeat this global pandemic. https://t.co/eh8o2ZDpiV",蔡英文 Tsai Ing-wen,iingwen,2020-11-16T02:46:09.000Z,Mon Nov 16 02:46:09 +0000 2020,2131,178,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/eswatinigovern1/status/1328012233494958080 ,0,1,,,,,
1327454106294784000,"#HappyDiwali to all of our friends in #India🇮🇳 &amp; around the world. We in #Taiwan🇹🇼 are shining a light for democracy &amp; freedom, values we share with so many of you spreading joy &amp; light this Diwali. I wish you all an incredible celebration, &amp; remember to stay safe! https://t.co/KZSIdKuEbK",蔡英文 Tsai Ing-wen,iingwen,2020-11-14T03:31:36.000Z,Sat Nov 14 03:31:36 +0000 2020,17277,3303,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,3,0,video,https://video.twimg.com/ext_tw_video/1327454036535099392/pu/vid/1080x720/wED2BKLq-AVXvT4T.mp4?tag=10,,,
1327093068458180609,It's heartbreaking to see our neighbor impacted by such devastating natural disasters. My thoughts are with everyone who has been affected by the typhoons &amp; flooding in the Philippines. Taiwan wishes you strength &amp; will provide assistance during this difficult time.,蔡英文 Tsai Ing-wen,iingwen,2020-11-13T03:36:58.000Z,Fri Nov 13 03:36:58 +0000 2020,11277,1324,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1326880286315958272,"I’d like to send congratulations to @JohnBricenoPUP on your election as #Belize PM &amp; appreciation to PM Barrow for all we achieved together. #Taiwan enjoys staunch support from Belize, treasures our longstanding friendship &amp; looks forward to continuing our close collaboration. https://t.co/oAXRTlrROL",蔡英文 Tsai Ing-wen,iingwen,2020-11-12T13:31:27.000Z,Thu Nov 12 13:31:27 +0000 2020,3144,264,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/EmoGU-6VkAAD79_.jpg,,,
1326786282379505665,"#TaiwanCanHelp. It's not just a slogan, not just three words. It's the collective will of the people of Taiwan; it's a movement that can save so many lives across borders. No amount of obstruction or politicising public health can change this fact. https://t.co/yHuCp0APhi",蔡英文 Tsai Ing-wen,iingwen,2020-11-12T07:17:54.000Z,Thu Nov 12 07:17:54 +0000 2020,7976,1451,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,,1,0,video,https://video.twimg.com/amplify_video/1326780630282153985/vid/1280x720/vcydFBHdVjnW-2Pv.mp4?tag=13,,,
1326523280438652934,Congratulations to @Vystrcil_Milos on once again being elected #Czechia senate president. You are a true friend to all of us in #Taiwan &amp; have inspired many with your principled leadership. We wish you a successful term &amp; everyone in Czechia well in your fight against #COVID19. https://t.co/jHFxxtKedg,蔡英文 Tsai Ing-wen,iingwen,2020-11-11T13:52:50.000Z,Wed Nov 11 13:52:50 +0000 2020,3374,352,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/senatcz/status/1326471475638001665 ,3,1,,,,,
1326501253875052544,"Thank you Ambassador Rachel Coupaud for all you have done to promote #Taiwan-#Haiti relations. We may be bidding farewell to a good friend, but will always cherish your time in Taiwan &amp; look forward to seeing you again in the future. https://t.co/3i0ajCmja5",蔡英文 Tsai Ing-wen,iingwen,2020-11-11T12:25:18.000Z,Wed Nov 11 12:25:18 +0000 2020,3507,298,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/Emit20gVkAAHYTG.jpg,,,
1326430026145783811,The future of green energy in #Taiwan is looking bright! I joined industry experts to discuss Taiwan’s energy transition &amp; am proud to report that we're on track to become a key partner in global #GreenEnergy supply chains. We must all come together to build a greener planet. https://t.co/S4nJslXpZr,蔡英文 Tsai Ing-wen,iingwen,2020-11-11T07:42:16.000Z,Wed Nov 11 07:42:16 +0000 2020,3157,297,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/EmhtEucVcAASyRt.jpg,,,
1326358118582812674,"We look forward to expanding our strong economic ties with the US at our first Economic Prosperity Partnership Dialogue. This is yet another milestone for our strategic collaboration, building a closer #Taiwan-#US partnership for a more prosperous world. https://t.co/eEF0y5Axlc",蔡英文 Tsai Ing-wen,iingwen,2020-11-11T02:56:32.000Z,Wed Nov 11 02:56:32 +0000 2020,9177,1357,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/StateDept/status/1326233234770948098 ,2,0,,,,,
1326141895882403841,"Thank you Morris Chang for once again representing #Taiwan at the @APEC Economic Leaders’ Meeting. As @TWSemicon founder, your valuable experience as a technological innovator will help us build stronger relationships &amp; improve public healthcare in the Asia-Pacific region. https://t.co/t9wPyxD8I4",蔡英文 Tsai Ing-wen,iingwen,2020-11-10T12:37:21.000Z,Tue Nov 10 12:37:21 +0000 2020,3279,298,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,2,photo,https://pbs.twimg.com/media/EmdnBgqU0AIWDEo.jpg,,,
1326094520283398145,It’s always great to catch up with good friends in the #US. Thank you @SenCoryGardner for the call &amp; your enduring support for #Taiwan. We wish you well on the next stage of your journey &amp; look forward to welcoming you back to Taiwan in the future. https://t.co/pEumtXE3si,蔡英文 Tsai Ing-wen,iingwen,2020-11-10T09:29:05.000Z,Tue Nov 10 09:29:05 +0000 2020,5392,535,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,2,1,photo,https://pbs.twimg.com/media/Emc77lPUYAI8dpL.jpg,https://pbs.twimg.com/media/Emc77lQVkAAwNgz.jpg,https://pbs.twimg.com/media/Emc77lQUYAEOtex.jpg,https://pbs.twimg.com/media/Emc77lUUYAANOCH.jpg
1326065076755820544,"Thank you @pmharriskn for your message of support &amp; call for global cooperation. The #TaiwanModel has been successful in fighting #COVID19, &amp; we stand ready to share our public health expertise with the world. #Taiwan must be allowed to meaningfully participate in the @WHO. https://t.co/hOonIGPNQl",蔡英文 Tsai Ing-wen,iingwen,2020-11-10T07:32:06.000Z,Tue Nov 10 07:32:06 +0000 2020,2424,298,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/pmharriskn/status/1325922789635870722 ,3,2,,,,,
1325984420843565057,"We agree. Public health should not be politicised, because without Taiwan’s meaningful participation in the @WHO, we cannot achieve #HealthForAll. Thank you to @usmissiongeneva for reminding the world that #Taiwan is a force for good with a voice that deserves to be heard. https://t.co/9HiAgRUZpF",蔡英文 Tsai Ing-wen,iingwen,2020-11-10T02:11:36.000Z,Tue Nov 10 02:11:36 +0000 2020,4428,756,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/usmissiongeneva/status/1325801199212261376 ,2,2,,,,,
1325780322965835778,"#Taiwan has valuable medical experiences to offer the world, including our successful #TaiwanModel to combat #COVID19, but we have been excluded from participating in #WHA73 due to political obstruction. Taiwan's absence is a great loss for the @WHO &amp; the world. https://t.co/tMB269fkiG",蔡英文 Tsai Ing-wen,iingwen,2020-11-09T12:40:35.000Z,Mon Nov 09 12:40:35 +0000 2020,6376,1113,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,,4,1,video,https://video.twimg.com/amplify_video/1325731838904557574/vid/1280x720/zXHuLcj24XZ8S3u_.mp4?tag=13,,,
1325707012500463616,Nearly 2000 lawmakers from all over the world have voiced their support for #Taiwan’s inclusion in the @WHO. Their voices should not be ignored. #TaiwanIsHelping the world fight the pandemic &amp; #TaiwanCanHelp the WHO achieve #HealthForAll. https://t.co/M0mxbG2ZfM,蔡英文 Tsai Ing-wen,iingwen,2020-11-09T07:49:16.000Z,Mon Nov 09 07:49:16 +0000 2020,5560,921,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,4,1,photo,https://pbs.twimg.com/media/EmXbfqzVMAA-lCK.jpg,,,
1325228344720289792,"Now it is my turn to extend congratulations to @JoeBiden &amp; @KamalaHarris on being elected President &amp; VP-elect. The values on which we have built our relationship could not be stronger. I look fwd to working together to further our friendship, &amp; contributions to int’l society. https://t.co/xIvit7emjH",蔡英文 Tsai Ing-wen,iingwen,2020-11-08T00:07:13.000Z,Sun Nov 08 00:07:13 +0000 2020,28215,4951,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/JoeBiden/status/1216056642313359361 ,0,2,,,,,
1325024764453253121,We are so grateful to our friends in #LatinAmerica for speaking up for #Taiwan’s participation in the @WHO. The Latin American Formosa Club knows that the world will be better off if Taiwan can contribute to international organisations. https://t.co/r1l05PHJ63,蔡英文 Tsai Ing-wen,iingwen,2020-11-07T10:38:16.000Z,Sat Nov 07 10:38:16 +0000 2020,5108,619,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/MOFA_Taiwan/status/1324697208143245312 ,2,1,,,,,
